id,fruit,side,day,camera_type,header_file,data_file,record_id,init_weight,end_weight,storage_days,firmness,comment,ripeness_state,ripeness_state_fine,img_shape,ripeness_state_y,is_damaged
0,Avocado,front,day_01,NIR,Avocado/NIR/day_01/avocado_day_01_20_front.hdr,Avocado/NIR/day_01/avocado_day_01_20_front.bin,0,227,227.0,0,19750.0,,unripe,unripe,"(219, 94, 252)",0,0
1,Avocado,front,day_01,VIS,Avocado/VIS/day_01/avocado_day_01_20_front.hdr,Avocado/VIS/day_01/avocado_day_01_20_front.bin,1,227,227.0,0,19750.0,,unripe,unripe,"(286, 294, 224)",0,0
2,Avocado,back,day_01,NIR,Avocado/NIR/day_01/avocado_day_01_20_back.hdr,Avocado/NIR/day_01/avocado_day_01_20_back.bin,2,227,227.0,0,19750.0,,unripe,unripe,"(220, 94, 252)",0,0
3,Avocado,back,day_01,VIS,Avocado/VIS/day_01/avocado_day_01_20_back.hdr,Avocado/VIS/day_01/avocado_day_01_20_back.bin,3,227,227.0,0,19750.0,,unripe,unripe,"(291, 299, 224)",0,0
4,Avocado,front,day_01,NIR,Avocado/NIR/day_01/avocado_day_01_30_front.hdr,Avocado/NIR/day_01/avocado_day_01_30_front.bin,4,252,252.0,0,18250.0,,unripe,unripe,"(278, 93, 252)",0,0
5,Avocado,front,day_01,VIS,Avocado/VIS/day_01/avocado_day_01_30_front.hdr,Avocado/VIS/day_01/avocado_day_01_30_front.bin,5,252,252.0,0,18250.0,,unripe,unripe,"(360, 295, 224)",0,0
6,Avocado,back,day_01,NIR,Avocado/NIR/day_01/avocado_day_01_30_back.hdr,Avocado/NIR/day_01/avocado_day_01_30_back.bin,6,252,252.0,0,18250.0,,unripe,unripe,"(277, 93, 252)",0,0
7,Avocado,back,day_01,VIS,Avocado/VIS/day_01/avocado_day_01_30_back.hdr,Avocado/VIS/day_01/avocado_day_01_30_back.bin,7,252,252.0,0,18250.0,,unripe,unripe,"(362, 293, 224)",0,0
8,Kiwi,front,day_01,NIR,Kiwi/NIR/day_01/kiwi_day_01_03_front.hdr,Kiwi/NIR/day_01/kiwi_day_01_03_front.bin,8,120,120.0,0,900.0,,perfect,ripe,"(155, 77, 252)",1,0
9,Kiwi,front,day_01,VIS,Kiwi/VIS/day_01/kiwi_day_01_03_front.hdr,Kiwi/VIS/day_01/kiwi_day_01_03_front.bin,9,120,120.0,0,900.0,,perfect,ripe,"(218, 245, 224)",1,0
